DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
15K131,P.S. 131 Brooklyn,Brooklyn,15,PK-5,445,205,447.4,49.8,19.0,57.7,208,453.2,52.9,16.8,42.4,51.3,50.1,31.7,1.6,57.1,7.6,0.7,1.3,26.1,22.9,94.4,89.6
31R011,P.S. 11 Thomas Dongan School,Staten Island,31,3K-5,281,114,445.1,43.0,15.8,47.0,114,456.7,59.6,21.1,54.2,51.3,50.6,20.6,9.6,32.7,35.2,1.8,0.0,25.6,13.9,76.5,71.3
11X089,P.S. 089 Bronx,Bronx,11,3K-8,1155,606,447.9,47.0,18.0,53.3,592,453.6,55.6,16.6,46.9,51.3,50.1,9.8,17.2,53.2,18.2,1.0,0.4,18.6,20.3,86.6,88.6
11X076,P.S. 076 The Bennington School,Bronx,11,PK-5,589,196,447.8,45.4,17.9,50.2,203,454.2,57.1,12.8,49.6,51.3,49.9,4.4,27.2,56.4,9.5,1.9,0.5,28.9,26.5,86.9,89.6
22K207,P.S. 207 Elizabeth G. Leary,Brooklyn,22,PK-8,900,556,449.2,49.5,22.1,57.0,528,452.1,53.0,16.3,42.6,51.2,49.8,31.6,24.4,15.7,24.3,3.1,0.9,23.4,12.3,61.9,57.9
23K446,Riverdale Avenue Community School,Brooklyn,23,3K-5,315,127,448.2,46.5,18.9,52.2,127,451.8,55.9,11.0,47.3,51.2,49.8,4.1,66.0,23.2,3.8,2.5,0.3,25.7,10.2,91.4,93.6
26Q031,P.S. 031 Bayside,Queens,26,3K-5,315,131,444.8,43.5,19.8,47.5,138,454.8,58.7,19.6,52.1,51.1,49.8,41.3,6.7,40.3,9.2,1.9,0.6,23.8,27.0,71.1,64.4
02M051,P.S. 051 Elias Howe,Manhattan,2,3K-5,436,109,445.7,45.0,16.5,49.2,112,454.5,57.1,17.9,49.6,51.0,49.4,8.9,18.8,58.0,11.2,2.3,0.7,25.0,36.0,76.4,75.4
22K198,P.S. 198 Brooklyn,Brooklyn,22,3K-5,335,115,445.9,46.1,17.4,51.5,118,453.1,55.9,12.7,47.6,51.0,49.6,5.4,78.2,13.7,1.5,0.6,0.6,19.7,4.2,85.7,78.1
24Q290,A.C.E. Academy for Scholars at the Geraldine Ferra,Queens,24,PK-5,563,252,446.9,46.8,19.8,52.9,252,454.5,55.2,20.2,46.1,51.0,49.5,8.5,1.1,51.0,34.1,4.3,0.7,16.5,17.2,63.6,60.1
25Q029,P.S. 029 Queens,Queens,25,PK-5,607,281,443.1,41.3,13.2,44.7,288,456.7,60.4,20.8,54.9,50.8,49.8,18.9,1.2,72.8,5.9,0.8,0.3,25.0,36.4,85.8,77.3
24Q058,P.S. 58 - The School of Heroes,Queens,24,PK-6,700,355,445.3,45.9,16.3,50.8,364,454.9,55.8,20.1,47.0,50.8,48.9,36.6,0.7,48.3,12.7,0.6,1.1,19.3,15.1,78.0,69.9
