DBN,School Name,Borough,District,Grade Span,Enrollment,ELA Students Tested,ELA Mean Scale Score,ELA % Proficient,ELA % Level 4,ELA Proficiency Percentile (NYC Schools),Math Students Tested,Math Mean Scale Score,Math % Proficient,Math % Level 4,Math Proficiency Percentile (NYC Schools),Average % Proficient,Average Proficiency Percentile (NYC Schools),% Asian and Pacific Islander,% Black,% Hispanic,% White,% Multi-Racial,% Native American,% Students with Disabilities,% English Language Learners,% Poverty,Economic Need Index
18K135,P.S. 135 Sheldon A. Brookner,Brooklyn,18,3K-5,304,120,438.9,30.8,7.5,23.3,122,446.6,45.9,7.4,31.8,38.4,27.5,4.9,73.0,10.9,7.6,2.3,1.3,31.6,11.5,90.5,84.0
13K003,P.S. 003 The Bedford Village,Brooklyn,13,3K-5,183,72,442.8,36.1,9.7,35.0,72,445.6,40.3,4.2,21.3,38.2,28.1,9.8,67.8,15.3,2.7,3.8,0.5,24.0,9.3,86.3,84.4
19K677,East New York Elementary School of Excellence,Brooklyn,19,3K-5,343,160,435.9,30.0,14.4,21.5,151,446.0,46.4,11.9,32.7,38.2,27.1,9.3,36.2,49.3,0.6,2.9,1.7,20.7,20.4,93.0,90.6
13K067,P.S. 067 Charles A. Dorsey,Brooklyn,13,3K-5,145,59,433.6,25.4,5.1,12.7,57,446.1,50.9,5.3,40.4,38.2,26.5,2.8,50.3,39.3,1.4,4.8,1.4,26.9,13.1,>95%,>95%
07X029,P.S./M.S. 029 Melrose School,Bronx,7,3K-8,578,341,441.3,35.5,12.6,33.4,343,443.5,40.8,9.6,22.2,38.2,27.8,0.9,33.6,61.9,1.7,1.4,0.5,33.9,15.4,>95%,>95%
09X199,P.S. 199X - The Shakespeare School,Bronx,9,3K-5,350,144,439.1,31.2,11.1,24.0,154,446.2,44.8,9.1,28.9,38.0,26.5,0.3,26.6,66.9,1.1,2.6,2.6,27.1,24.9,>95%,>95%
06M173,P.S./I.S. 173 Fort Washington School in the Height,Manhattan,6,3K-8,583,273,435.9,29.7,7.0,20.6,283,447.2,46.3,9.9,32.5,38.0,26.6,1.5,5.8,85.9,5.3,0.7,0.3,23.7,25.6,91.4,83.1
08X140,P.S. X140 The Eagle School,Bronx,8,3K-5,341,120,438.2,32.5,13.3,26.9,122,447.6,43.4,13.9,26.5,38.0,26.7,1.2,39.0,56.0,2.1,0.6,1.2,25.2,14.7,>95%,>95%
11X483,The Matilda Avenue School,Bronx,11,K-5,206,93,438.8,28.0,9.7,18.3,96,448.9,47.9,10.4,35.3,37.9,26.8,3.9,43.7,44.2,4.9,0.0,3.4,20.4,18.0,93.2,89.5
15K146,"The Brooklyn New School, P.S. 146",Brooklyn,15,PK-5,641,35,442.2,37.1,8.6,36.2,31,445.0,38.7,9.7,18.8,37.9,27.5,4.8,11.4,21.1,48.4,14.2,0.2,28.2,4.2,32.6,35.1
24Q307,Pioneer Academy,Queens,24,3K-5,641,323,437.9,26.0,10.2,13.4,323,448.7,49.8,8.4,39.2,37.9,26.3,2.3,0.6,94.4,0.5,0.3,1.9,18.6,47.3,91.4,85.3
07X157,P.S. 157 Grove Hill,Bronx,7,3K-5,362,139,439.8,35.3,9.4,32.7,141,444.0,40.4,5.7,21.4,37.8,27.0,0.3,13.0,68.2,0.3,0.8,16.3,32.0,10.8,93.6,93.0
08X062,P.S. 062 Inocensio Casanova,Bronx,8,3K-5,432,159,440.9,37.7,5.7,37.5,164,444.4,37.8,4.9,17.7,37.8,27.6,0.0,16.4,81.0,1.2,0.7,0.7,36.6,12.5,>95%,93.9
05M036,P.S. 036 Margaret Douglas,Manhattan,5,3K-5,237,85,438.0,30.6,4.7,22.8,87,451.7,44.8,16.1,29.3,37.7,26.0,3.8,32.5,54.9,4.2,4.2,0.4,33.8,12.7,88.6,88.5
01M015,P.S. 015 Roberto Clemente,Manhattan,1,PK-5,148,64,441.6,29.7,6.2,20.7,66,452.6,45.5,16.7,30.7,37.6,25.7,6.1,20.3,66.2,2.7,4.1,0.7,30.4,5.4,87.8,88.9
10X037,P.S. X037 - Multiple Intelligence School,Bronx,10,K-8,471,315,441.4,34.6,11.4,31.6,324,444.0,40.4,7.4,21.5,37.5,26.6,0.8,13.8,84.3,0.6,0.4,0.0,29.9,15.7,90.0,90.6
32K045,P.S./I.S. 045 Horace E. Greene,Brooklyn,32,3K-8,434,261,438.8,30.3,11.1,22.3,257,447.3,44.7,12.5,28.7,37.5,25.5,2.1,39.2,53.7,3.2,0.5,1.4,24.7,17.5,91.9,87.5
22K194,P.S. 194 Raoul Wallenberg,Brooklyn,22,3K-5,456,148,437.8,31.8,8.1,25.5,162,443.8,43.2,4.9,25.6,37.5,25.5,23.7,33.8,23.9,14.9,2.0,1.5,32.9,23.2,91.4,90.1
11X111,P.S. 111 Seton Falls,Bronx,11,3K-5,388,149,439.4,31.5,8.1,25.2,150,443.4,43.3,8.0,26.2,37.4,25.7,1.5,54.9,41.0,1.8,0.5,0.3,32.5,4.1,92.3,90.6
04M206,P.S. 206 Jose Celso Barbosa,Manhattan,4,3-8,340,317,439.1,34.1,8.2,30.7,265,443.8,40.8,6.8,22.0,37.4,26.4,0.9,20.3,75.3,2.1,1.2,0.3,51.2,17.6,92.4,93.3
07X161,P.S. 161 Juan Ponce De Leon School,Bronx,7,3K-5,297,96,442.0,33.3,11.5,28.7,94,446.2,41.5,7.4,23.4,37.4,26.0,0.3,20.2,76.1,2.0,0.7,0.0,34.7,13.5,91.2,93.4
30Q127,P.S. 127 Aerospace Science Magnet School,Queens,30,3K-8,1062,674,437.3,31.5,9.9,24.7,688,446.2,43.3,12.6,26.0,37.4,25.4,8.4,5.6,82.8,2.6,0.2,0.4,17.1,45.6,86.1,80.7
10X056,P.S. 056 Norwood Heights,Bronx,10,K-5,587,292,438.2,30.1,10.6,21.9,295,447.8,44.4,13.2,28.0,37.3,25.0,20.1,9.0,61.3,6.3,2.2,1.0,29.6,20.4,89.1,90.4
29Q138,P.S./M.S. 138 Sunrise,Queens,29,3K-8,559,369,440.9,37.1,10.8,36.1,376,442.1,37.0,6.1,16.1,37.0,26.1,5.0,68.5,17.5,2.7,2.3,3.9,18.1,11.1,76.9,75.7
08X130,P.S. 130 Abram Stevens Hewitt,Bronx,8,3K-5,288,117,439.9,29.1,7.7,19.7,121,447.6,44.6,12.4,28.4,36.8,24.1,0.3,21.9,74.7,1.7,0.3,0.7,27.1,14.6,92.7,94.9
09X035,P.S. 035 Franz Siegel,Bronx,9,K-5,354,196,438.8,34.7,8.7,31.8,206,445.1,38.8,12.1,19.2,36.8,25.5,0.0,22.3,73.2,1.7,1.4,1.4,31.1,24.0,>95%,>95%
11X357,Young Voices Academy of the Bronx,Bronx,11,PK-5,362,129,438.9,33.3,7.8,28.7,132,441.4,40.2,3.0,20.9,36.7,24.8,8.6,10.5,65.2,14.1,1.1,0.6,23.5,17.7,87.3,84.5
09X449,Grant Avenue Elementary School,Bronx,9,3K-5,364,159,440.1,34.0,7.5,30.5,167,443.7,39.5,7.8,20.2,36.7,25.4,2.2,22.3,69.5,3.3,1.4,1.4,35.7,25.3,93.4,92.3
11X105,P.S. 105 Sen Abraham Bernstein,Bronx,11,3K-6,776,311,438.9,33.4,9.3,29.1,293,444.3,39.9,6.8,20.7,36.7,24.9,11.6,10.7,58.4,17.0,1.0,0.9,22.7,27.3,92.7,91.1
12X314,Fairmont Neighborhood School,Bronx,12,3K-5,275,100,439.7,33.0,10.0,27.9,102,440.6,40.2,3.9,21.1,36.6,24.5,1.5,31.3,64.7,1.1,0.0,1.5,35.6,13.8,92.0,94.2
04M102,P.S. 102 Jacques Cartier,Manhattan,4,3K-5,164,72,440.9,40.3,16.7,42.1,73,443.6,32.9,15.1,11.2,36.6,26.6,1.8,27.4,64.6,3.7,2.4,0.0,26.2,20.7,90.9,93.0
09X218,P.S./I.S. 218 Rafael Hernandez Dual Language Magne,Bronx,9,K-8,769,537,440.8,35.9,11.2,34.6,541,443.2,37.2,10.0,16.5,36.5,25.5,1.7,3.8,92.1,0.7,0.3,1.6,20.9,27.6,>95%,94.8
07X065,P.S. 065 Mother Hale Academy,Bronx,7,PK-5,227,83,441.3,33.7,7.2,29.7,89,443.3,39.3,5.6,20.0,36.5,24.8,0.0,39.6,55.9,1.8,1.3,1.3,25.1,18.1,>95%,>95%
13K287,P.S. 287 Bailey K. Ashford,Brooklyn,13,3K-5,140,43,445.9,37.2,25.6,36.6,42,446.0,35.7,19.0,14.3,36.5,25.4,1.4,65.7,25.0,1.4,4.3,1.4,24.3,9.3,>95%,93.6
08X100,P.S. 100 Isaac Clason,Bronx,8,3K-5,423,178,438.7,34.3,10.1,31.0,182,443.8,38.5,11.0,18.2,36.4,24.6,4.5,24.8,69.0,0.5,0.7,0.2,29.3,9.9,91.3,89.3
12X531,Archer Elementary School,Bronx,12,3K-5,311,120,440.4,31.7,8.3,25.4,122,442.0,41.0,8.2,22.4,36.3,23.9,14.8,20.9,56.3,3.5,0.6,2.6,33.8,15.8,91.0,91.3
20K506,P.S. 506: The School of Journalism & Technology,Brooklyn,20,K-5,269,161,436.5,29.8,8.1,21.1,164,446.9,42.7,17.7,25.0,36.2,23.0,28.3,0.0,66.2,4.8,0.0,0.7,32.0,33.1,94.4,93.8
24Q089,P.S. 89Q: The Jose Peralta School of Dreamers,Queens,24,K-5,933,416,437.9,29.1,8.2,19.8,426,445.0,43.2,7.7,25.5,36.1,22.7,18.5,0.2,78.6,1.8,0.2,0.6,23.0,52.4,94.6,85.9
22K152,School of Science & Technology,Brooklyn,22,PK-5,515,219,438.6,32.9,10.0,27.8,222,441.7,39.2,3.2,19.5,36.0,23.6,11.5,46.6,24.9,11.3,3.9,1.9,27.0,18.6,89.5,86.0
10X246,P.S. 246 Poe Center,Bronx,10,K-5,451,232,436.9,31.5,8.6,24.8,239,445.3,40.6,9.6,21.8,36.0,23.3,1.8,9.8,84.7,3.1,0.7,0.0,21.7,37.7,>95%,>95%
13K046,P.S. 046 Edward C. Blum,Brooklyn,13,3K-5,234,69,438.2,26.1,2.9,13.8,66,445.9,45.5,3.0,30.7,35.8,22.2,2.1,37.6,40.2,17.5,1.7,0.4,29.9,12.4,72.2,75.0
10X340,P.S. 340,Bronx,10,PK-5,514,258,440.2,35.3,12.0,32.9,262,442.5,36.3,8.8,14.9,35.8,23.9,3.1,10.1,83.5,2.1,0.4,0.8,38.7,27.6,91.4,93.2
10X205,P.S. 205 Fiorello LaGuardia,Bronx,10,K-5,485,269,438.0,27.9,7.1,17.9,271,445.7,43.5,8.1,26.6,35.7,22.3,1.4,17.7,75.7,3.5,0.6,1.0,30.9,27.6,>95%,94.5
06M005,P.S. 005 Ellen Lurie,Manhattan,6,3K-5,382,125,436.1,26.4,4.8,14.6,129,445.3,45.0,8.5,29.7,35.7,22.2,0.8,10.2,86.6,1.6,0.5,0.3,36.9,26.7,93.5,92.8
01M063,The STAR Academy - P.S.63,Manhattan,1,3K-5,197,54,434.4,22.2,1.9,7.4,55,443.9,49.1,5.5,37.8,35.7,22.6,1.0,18.8,68.0,9.6,2.0,0.0,40.6,11.7,75.1,79.4
31R068,Port Richmond School for Visionary Learning,Staten Island,31,3K-5,380,153,440.4,32.7,15.0,27.4,158,441.9,38.6,7.0,18.4,35.6,22.9,11.6,20.8,52.1,10.8,4.2,0.3,29.7,7.1,85.0,77.3
03M180,P.S. 180 Hugo Newman,Manhattan,3,3K-5,378,122,440.7,34.4,9.8,31.2,117,440.9,36.8,6.8,15.5,35.6,23.4,2.1,46.3,34.1,16.1,1.3,0.0,27.2,7.7,73.5,76.4
10X033,P.S. 033 Timothy Dwight,Bronx,10,PK-5,737,313,433.9,26.8,6.4,15.4,326,447.2,44.2,12.0,27.8,35.5,21.6,1.1,11.1,82.5,2.8,0.3,1.8,25.0,27.3,87.2,91.9
19K158,P.S. 158 Warwick,Brooklyn,19,3K-5,331,138,437.5,27.5,10.9,16.9,141,446.2,43.3,11.3,25.9,35.4,21.4,6.9,41.1,46.5,2.4,0.6,2.4,22.7,14.5,94.3,92.2
28Q082,P.S. 082 Hammond,Queens,28,K-5,631,284,436.2,28.2,9.2,18.6,291,444.8,42.6,12.0,24.8,35.4,21.7,11.4,7.8,75.6,2.2,0.2,2.9,15.4,43.4,93.3,90.5
23K155,P.S./ I.S. 155 Nicholas Herkimer,Brooklyn,23,3K-8,285,122,437.6,27.0,8.2,16.1,101,445.5,43.6,9.9,26.8,35.3,21.4,1.1,38.2,55.8,2.1,0.4,2.5,26.3,23.2,87.7,90.1
10X085,P.S. 085 Great Expectations,Bronx,10,PK-5,712,276,440.3,31.5,11.6,25.0,294,443.1,38.8,9.5,19.0,35.1,22.0,0.8,28.9,67.6,0.6,1.3,0.8,21.9,28.7,94.8,>95%
09X236,P.S. 236 Langston Hughes,Bronx,9,3K-5,302,121,438.9,32.2,7.4,26.6,121,443.3,38.0,4.1,17.8,35.1,22.2,1.0,27.5,70.9,0.3,0.0,0.3,22.8,15.6,>95%,>95%
09X294,The Walton Avenue School,Bronx,9,K-5,253,151,434.9,29.1,7.3,20.2,151,443.3,41.1,6.0,22.5,35.1,21.4,1.2,19.0,76.3,2.0,0.4,1.2,34.4,21.3,>95%,>95%
13K256,P.S. 256 Benjamin Banneker,Brooklyn,13,3K-5,182,76,438.3,27.6,3.9,17.0,78,447.9,42.3,10.3,24.1,35.0,20.6,2.7,52.7,33.0,8.8,1.6,1.1,21.4,12.1,>95%,88.4
24Q239,P.S. 239,Queens,24,3K-5,407,153,436.4,30.1,6.5,21.8,158,444.8,39.2,7.6,19.7,34.7,20.7,8.6,4.4,78.9,7.4,0.5,0.2,25.8,33.2,84.8,78.1
23K327,P.S. 327 Dr. Rose B. English,Brooklyn,23,3K-5,247,80,437.2,26.2,7.5,14.3,80,443.2,42.5,2.5,24.6,34.4,19.5,2.8,61.9,27.5,2.4,0.8,4.5,25.1,14.6,94.3,>95%
30Q112,P.S. 112 Dutch Kills,Queens,30,3K-5,454,173,435.4,27.2,11.0,16.6,178,446.8,41.6,13.5,23.7,34.4,20.2,19.8,17.2,49.3,10.8,1.5,1.3,22.2,30.6,87.2,87.3
19K202,P.S. 202 Ernest S. Jenkyns,Brooklyn,19,3K-5,246,103,435.0,22.3,4.9,7.6,106,447.7,46.2,14.2,32.1,34.3,19.8,4.5,53.7,40.7,0.0,0.4,0.8,30.1,12.6,93.9,92.6
31R016,P.S. 016 John J. Driscoll,Staten Island,31,3K-5,361,154,438.0,30.5,7.1,22.5,163,444.6,38.0,9.8,17.9,34.3,20.2,5.0,26.3,63.7,4.2,0.0,0.8,25.5,26.0,>95%,91.4
08X069,P.S. 069 Journey Prep School,Bronx,8,PK-5,439,202,437.1,31.2,8.4,23.8,201,442.7,37.3,8.5,16.8,34.3,20.3,8.2,19.4,68.6,2.5,0.5,0.9,28.0,13.2,88.8,85.5
10X003,P.S. 3 Raul Julia Micro Society,Bronx,10,3K-8,327,202,441.5,33.2,9.4,28.4,171,439.2,35.1,2.9,13.7,34.1,21.1,1.5,29.1,67.6,0.9,0.3,0.6,34.3,12.5,>95%,91.0
16K309,P.S. 309 The George E. Wibecan Preparatory Academy,Brooklyn,16,3K-5,196,46,443.0,37.0,10.9,35.9,48,441.7,31.2,4.2,9.9,34.1,22.9,1.5,60.2,33.2,1.5,3.1,0.5,31.6,11.7,83.7,86.9
08X107,P.S. 107,Bronx,8,3K-5,403,176,437.3,26.7,6.2,15.1,179,445.4,41.3,9.5,23.0,34.0,19.1,0.7,25.8,68.2,3.5,1.0,0.7,38.0,9.4,>95%,>95%
07X001,P.S. 001 Courtlandt School,Bronx,7,3K-5,390,126,436.7,25.4,6.3,12.4,125,444.4,42.4,4.8,24.3,33.9,18.4,0.0,20.8,75.9,1.5,0.8,0.5,23.6,19.5,>95%,>95%
12X150,P.S. 150 Charles James Fox,Bronx,12,PK-5,477,208,433.8,26.4,5.8,14.7,214,443.8,41.1,8.4,22.9,33.8,18.8,0.4,23.7,72.1,2.5,0.4,0.8,31.7,26.4,>95%,>95%
27Q223,P.S. 223 Lyndon B. Johnson,Queens,27,3K-5,500,215,434.6,27.9,9.8,18.1,215,444.6,39.5,12.1,20.4,33.7,19.2,11.8,40.0,37.4,2.0,1.4,7.4,23.8,21.2,90.0,84.8
17K181,P.S. 181 Brooklyn,Brooklyn,17,3K-8,592,331,437.8,28.7,8.5,19.3,334,443.0,38.6,9.9,18.6,33.7,19.0,1.7,76.7,13.7,3.4,0.8,3.7,26.4,14.5,85.8,87.0
11X087,P.S. 087 Bronx,Bronx,11,K-5,349,154,438.8,32.5,9.7,26.8,158,443.9,34.8,8.9,13.2,33.6,20.0,4.0,49.6,37.0,1.1,2.6,5.4,22.1,9.2,86.2,80.8
03M185,The Locke School of Arts and Engineering,Manhattan,3,3K-5,333,75,438.9,32.0,9.3,26.1,77,441.7,35.1,10.4,13.6,33.5,19.8,3.9,32.1,31.8,21.6,9.9,0.6,21.3,1.8,54.1,58.4
10X386,School for Environmental Citizenship,Bronx,10,3K-5,562,237,438.8,29.1,11.4,20.1,241,441.4,37.8,7.5,17.4,33.4,18.8,2.3,11.0,84.3,1.2,0.7,0.4,21.0,20.6,>95%,>95%
01M034,P.S. 034 Franklin D. Roosevelt,Manhattan,1,3K-8,154,111,437.5,27.0,5.4,15.9,93,442.5,39.8,2.2,20.5,33.4,18.2,0.6,40.9,55.8,1.9,0.0,0.0,31.8,10.4,>95%,>95%
06M028,P.S. 028 Wright Brothers,Manhattan,6,3K-5,366,162,436.2,25.3,6.2,12.3,169,445.2,41.4,11.2,23.2,33.4,17.7,1.1,14.5,77.6,5.5,0.5,0.8,30.9,34.7,92.1,92.3
10X008,P.S. 008 Isaac Varian,Bronx,10,3K-5,624,275,438.7,29.1,9.1,20.0,282,443.3,37.6,7.4,17.1,33.3,18.5,8.0,9.5,76.1,4.8,0.8,0.8,24.4,26.4,89.7,90.6
11X112,P.S. 112 Bronxwood,Bronx,11,3K-5,346,147,432.8,25.9,4.1,12.9,145,442.0,40.7,4.8,21.9,33.3,17.4,0.6,36.4,60.4,0.9,0.6,1.2,37.6,11.3,>95%,92.0
05M175,P.S. 175 Henry H Garnet,Manhattan,5,3K-5,295,119,437.5,24.4,11.8,10.4,121,443.6,42.1,9.1,23.9,33.3,17.2,1.7,49.8,37.3,8.1,1.7,1.0,21.7,15.6,88.8,90.4
16K081,P.S. 081 Thaddeus Stevens,Brooklyn,16,3K-5,177,62,436.3,27.4,9.7,16.8,64,440.5,39.1,6.2,19.3,33.2,18.1,4.5,38.4,52.5,2.8,0.6,1.1,28.8,14.1,92.1,93.3
04M375,Mosaic Preparatory Academy,Manhattan,4,3K-5,194,83,438.7,27.7,8.4,17.5,83,444.9,38.6,12.0,18.3,33.1,17.9,0.5,33.5,58.2,3.6,1.5,2.6,32.0,19.6,94.8,>95%
12X195,P.S. 195,Bronx,12,3K-5,671,317,433.6,22.1,8.2,7.3,324,444.4,43.8,7.4,27.3,33.0,17.3,2.5,11.0,83.6,0.3,0.9,1.6,20.9,34.7,92.8,92.4
32K384,P.S. /I.S. 384 Frances E. Carter,Brooklyn,32,3K-8,349,202,439.0,30.7,9.4,23.2,180,440.8,35.0,4.4,13.4,32.8,18.3,0.3,12.9,83.4,1.7,0.9,0.9,30.1,22.9,90.0,89.9
05M200,P.S. 200- The James McCune Smith School,Manhattan,5,3K-5,310,125,438.3,34.4,5.6,31.1,125,438.6,31.2,5.6,9.6,32.8,20.4,1.0,57.4,31.6,3.2,1.3,5.5,36.1,7.1,>95%,>95%
06M048,P.S. 048 P.O. Michael J. Buczek,Manhattan,6,3K-5,376,139,435.8,24.5,9.4,10.8,146,445.7,41.1,8.9,22.7,32.8,16.7,0.0,3.2,87.5,7.7,1.3,0.3,37.5,32.4,88.0,83.3
03M241,STEM Institute of Manhattan,Manhattan,3,3K-5,137,59,435.6,27.1,3.4,16.3,60,438.0,38.3,5.0,18.1,32.7,17.2,1.5,55.5,36.5,4.4,0.7,1.5,30.7,19.0,89.8,88.1
09X070,P.S. 070 Max Schoenfeld,Bronx,9,3K-5,730,296,432.9,17.2,3.4,2.8,309,446.8,48.2,6.8,36.1,32.7,19.5,0.8,17.7,80.3,0.4,0.3,0.4,26.3,27.7,>95%,>95%
14K016,P.S. 016 Leonard Dunkly,Brooklyn,14,3K-5,168,62,438.9,30.6,3.2,23.0,61,442.5,34.4,4.9,12.5,32.5,17.8,0.6,34.5,56.0,3.6,2.4,3.0,35.7,7.1,89.3,90.1
21K288,P.S. 288 The Shirley Tanyhill,Brooklyn,21,PK-8,413,235,439.3,30.2,9.4,22.0,222,441.5,34.7,9.5,13.1,32.4,17.5,1.5,60.8,32.0,4.4,0.0,1.5,32.0,4.6,92.5,>95%
05M129,P.S. 129 John H. Finley,Manhattan,5,3K-5,193,72,438.5,31.9,11.1,25.9,73,437.2,32.9,2.7,11.2,32.4,18.5,6.2,38.3,51.8,2.6,1.0,0.0,26.9,22.3,92.2,92.3
04M037,River East Elementary,Manhattan,4,3K-5,234,90,439.4,27.8,8.9,17.7,87,443.0,36.8,14.9,15.9,32.3,16.8,2.1,31.2,59.4,5.1,2.1,0.0,32.9,9.8,85.9,90.1
10X054,P.S./I.S. 54,Bronx,10,PK-5,327,122,437.9,28.7,8.2,19.1,123,444.3,35.8,8.9,14.5,32.2,16.8,1.8,17.1,76.1,1.5,1.5,1.8,24.5,21.7,93.9,94.0
05M194,P.S. 194 Countee Cullen,Manhattan,5,PK-5,143,69,431.0,23.2,1.4,8.6,73,441.2,41.1,2.7,22.7,32.1,15.7,2.1,50.3,41.3,4.2,1.4,0.7,37.1,9.1,>95%,>95%
06M008,P.S. 008 Luis Belliard,Manhattan,6,3K-5,367,133,434.2,21.8,3.8,6.8,144,446.1,42.4,9.7,24.2,32.1,15.5,1.6,7.9,84.5,4.4,0.8,0.5,23.4,32.7,94.8,92.8
04M108,P.S. 108 Assemblyman Angelo Del Toro Educational C,Manhattan,4,3K-8,311,204,438.0,27.9,8.3,18.2,209,441.0,35.9,6.2,14.6,31.9,16.4,2.9,27.3,65.0,2.6,1.9,0.3,28.3,17.4,93.6,93.8
01M140,P.S. 140 Nathan Straus,Manhattan,1,3K-8,276,199,434.9,28.6,9.0,19.0,182,440.5,35.2,7.1,13.8,31.9,16.4,1.1,18.5,76.8,2.2,1.1,0.0,37.0,30.1,92.8,94.3
10X091,P.S. 091 Bronx,Bronx,10,K-5,337,130,436.2,26.9,3.1,15.5,136,440.8,36.8,5.1,15.6,31.8,15.6,4.7,12.8,76.9,3.0,0.9,1.8,38.0,34.7,>95%,93.7
10X291,P.S. 291,Bronx,10,K-5,259,138,438.5,26.1,10.1,13.8,141,444.7,37.6,9.9,17.1,31.8,15.4,0.0,6.9,90.7,1.9,0.0,0.4,37.5,22.8,>95%,93.8
06M348,Washington Heights Expeditionary Learning School,Manhattan,6,PK-12,857,310,438.9,32.6,9.0,27.3,306,439.2,31.0,6.9,9.3,31.8,18.3,1.3,3.5,91.6,2.2,0.9,0.1,24.7,21.9,86.0,87.5
24Q330,Helen M. Marshall School,Queens,24,K-5,433,223,432.1,23.3,3.1,9.1,224,445.0,40.2,8.0,21.0,31.7,15.0,3.0,2.3,92.6,0.9,0.5,0.7,25.6,49.9,>95%,92.3
09X055,P.S. 055 Benjamin Franklin,Bronx,9,3K-5,488,199,436.1,27.1,11.6,16.5,201,440.2,36.3,7.0,15.0,31.7,15.7,0.4,40.0,57.6,1.2,0.4,0.4,24.4,6.6,>95%,>95%
31R031,P.S. 031 William T. Davis,Staten Island,31,3K-5,346,142,437.0,24.6,5.6,11.3,137,443.6,38.7,7.3,18.7,31.7,15.0,2.9,50.6,38.2,4.0,4.0,0.3,43.4,7.5,94.8,>95%
32K299,P.S. 299 Thomas Warren Field,Brooklyn,32,3K-5,206,90,435.6,30.0,8.9,21.5,90,440.3,33.3,4.4,11.5,31.7,16.5,0.5,26.2,68.4,3.9,1.0,0.0,22.3,35.4,91.7,93.8
11X016,P.S. 016 Wakefield,Bronx,11,PK-5,345,136,434.9,29.4,5.9,20.5,145,441.2,33.8,8.3,12.0,31.6,16.3,3.8,33.9,55.1,2.3,0.6,4.3,17.7,24.3,>95%,94.5
06M153,P.S. 153 Adam Clayton Powell,Manhattan,6,3K-5,390,130,436.4,27.7,10.8,17.4,138,442.5,35.5,7.2,14.1,31.6,15.7,1.0,22.3,68.2,5.1,2.3,1.0,20.0,23.8,87.7,90.0
17K012,Dr. Jacqueline Peek-Davis School,Brooklyn,17,3K-5,235,87,437.2,32.2,1.1,26.4,84,439.6,31.0,4.8,9.0,31.6,17.7,2.6,66.0,24.3,5.5,0.4,1.3,24.3,8.9,90.6,89.9
09X163,P.S. 163 Arthur A. Schomburg,Bronx,9,3K-5,331,153,434.4,26.1,7.2,14.2,155,440.9,36.8,3.2,15.7,31.5,15.0,0.3,34.4,63.7,0.9,0.0,0.6,23.6,27.5,>95%,>95%
32K086,P.S. 086 The Irvington,Brooklyn,32,K-5,315,133,434.9,23.3,4.5,9.0,135,444.8,39.3,8.9,19.8,31.3,14.4,0.6,1.0,94.3,1.9,1.0,1.3,25.1,58.4,>95%,>95%
04M057,James Weldon Johnson,Manhattan,4,3K-8,426,287,437.2,31.0,7.0,23.6,289,440.3,31.5,4.5,10.4,31.2,17.0,1.9,19.5,74.9,2.6,0.2,0.9,25.8,21.8,>95%,94.9
10X095,P.S. 095 Sheila Mencher,Bronx,10,K-8,832,580,439.0,31.9,11.7,25.7,543,438.7,30.2,4.8,7.8,31.0,16.8,5.2,19.1,71.5,2.6,0.8,0.6,25.5,23.8,90.3,90.5
08X152,P.S. 152 Evergreen,Bronx,8,3K-5,593,278,433.9,24.8,5.8,11.9,280,441.2,37.1,8.2,16.4,31.0,14.1,0.8,12.5,83.6,1.5,0.5,1.0,25.6,39.6,>95%,>95%
24Q211,Elm Tree Elementary School,Queens,24,PK-5,840,400,432.6,22.0,4.8,7.2,409,443.8,39.9,8.1,20.6,30.9,13.9,4.3,5.1,86.3,3.3,0.0,1.0,22.0,57.3,94.9,91.9
22K251,P.S. 251 Paerdegat,Brooklyn,22,PK-5,323,160,435.3,30.6,8.8,22.9,157,440.2,31.2,5.7,9.7,30.9,16.3,4.3,69.3,11.1,2.2,1.9,11.1,27.9,9.6,83.6,81.6
27Q042,P.S./M.S 042 R. Vernam,Queens,27,3K-8,623,370,436.1,26.5,7.8,14.9,365,440.8,35.3,6.8,14.0,30.9,14.4,1.6,61.2,32.6,1.3,2.2,1.1,27.6,6.3,91.5,90.6
09X011,P.S. 011 Highbridge,Bronx,9,3K-5,390,145,435.6,20.7,1.4,5.8,144,443.0,41.0,6.9,22.3,30.8,14.0,0.0,27.4,71.3,1.0,0.0,0.3,28.2,24.4,92.8,>95%
19K007,P.S. 007 Abraham Lincoln,Brooklyn,19,3K-5,564,271,433.4,24.7,6.3,11.7,279,441.0,36.9,6.1,16.0,30.8,13.8,5.9,6.9,84.2,1.2,0.0,1.8,22.2,33.2,94.9,85.3
29Q147,P.S./M.S. 147 Ronald McNair,Queens,29,PK-8,399,283,437.9,35.0,10.2,32.1,282,436.2,26.2,1.8,5.9,30.6,19.0,4.0,71.7,19.0,1.0,0.8,3.3,24.6,11.3,72.9,69.7
10X046,P.S. 046 Edgar Allan Poe,Bronx,10,3K-5,592,289,435.3,27.0,9.0,15.7,297,440.7,34.0,9.4,12.3,30.5,14.0,1.7,16.9,76.9,2.4,0.5,1.4,31.2,32.3,93.9,>95%
18K272,P.S. 272 Curtis Estabrook,Brooklyn,18,3K-5,377,158,438.2,24.1,7.0,10.1,158,441.9,36.7,5.1,15.2,30.4,12.7,3.7,69.0,19.1,3.2,1.1,4.0,24.4,10.3,90.5,91.1
